client_id,file_name,sentence_id,transcription
2344,segment0.flac,id0,"Bu gecə bütün kənd sevinirdi.
"
2344,segment1.flac,id1,"Qızlar gəlinlər uşaqlar gənclər ixtiyarlar sevinir bütün kainat belə sevinirdi… Uşaqların bağırtısı qızların gəlinlərin çalğısı yastı balabanların ən kobud ürəkləri oxşayan həzin iniltisi birbirinə qarışıb ümumi bir ahəng yaratmış və hər kəs bu şən gurultunun sonsuz sevinclərinə dalıb getmişdi.
"
2344,segment10.flac,id2,"Bəli bu gecə hər kəs sevinir həm də onun səadətinə sevinirdi.
"
2344,segment100.flac,id3,"Yalnız o yalnız o bunları görmür eşitmir qadınların böyük bir gurultu qopartdığı darısqal və yarıqaranlıq daxmanın bir bucağına sıxılmış bütün bu sevinclərə darılır bu şənliklərdən sıxılır və eşitdiyi bütün bu gülüşlərdə bu gurultularda müdhiş bir fəlakət bayquşunun qorxunc sədasını hiss edirdi.
"
2344,segment101.flac,id4,"O bu gecə gəlin gedirdi.
"
2344,segment102.flac,id5,"Tam altı aydan bəri ayrılmaz bir yoldaşı olan köhnə qabıqlı Quranı kiçik döşlərinin arasına sıxıb Ey Quran ey uca pərvərdigar sən ki hər şeyi bilirsən sən mənə kömək ol.
"
2344,segment103.flac,id6,"deyə göz yaşları ilə yıpranmış yarpaqlarını isladırdı.
"
2344,segment104.flac,id7,"Bunu hər kəs görür lakin onu son zamanlar daima belə tutqun gördüklərindən bir o qədər də maraqlanmırlardı.
"
2344,segment105.flac,id8,"Hətta qızlardan bir neçəsi maraqlanmış soruşmuş və cavab almayınca kimisi bu zavallı qızcığazın öz nişanlısını sevmədiyindən kimisi tərsinə olaraq çox sevdiyindən və sevincindən ağladığını kimisi də adətdir qızlar gəlin gedərkən ağlarlar  deyə yenidən özlərini bir susmaz gurultuların ağuşuna atırdılar.
"
2344,segment106.flac,id9,"Lakin kimsə bu öksüz yavrucuğun ruhuna girə bilmir oradakı cəhənnəm kimi coşan müdhiş iztirabları kiçik vücudunu sarsıdan ürəyini duyğularını bir kəlmə bütün varlığını çeynəyən dəhşət və fəryadları görə bilmirdi.
"
2344,segment107.flac,id10,"Yalnız o özü bunları görür hiss edir və əski qabıqlı Quranını bağrına basaraq Ey Quran ey Quran sahibi sənə pənah gətirmişəm  deyə içiniçin ağlayır göz yaşlarını tökürdü.
"
2344,segment108.flac,id11,"Ox o fəlakətli gecə olmasaydı.
"
2344,segment109.flac,id12,"Bu on beşon altı yaşlarında ortaboylu qara gözlü uçqun yanaqlı sarımtraq bənizli bir qızcığazdı.
"
2344,segment11.flac,id13,"Altıyeddi ay bundan əvvəl deyər gülər çalar oynar şux bir afət idi.
"
2344,segment110.flac,id14,"İlk baxışda bir o qədər də gözəl görünmürdü.
"
2344,segment111.flac,id15,"Lakin bir qədər diqqətlə baxdıqda onda başqa bir gözəllik görmək mümkündü.
"
2344,segment112.flac,id16,"Baxışları altına düşən hər kəsi ildırım kimi sancan iri qara gözləri bu qara gözlər üstündəki incə uzun qaşları qanı axacaq qədər qırmızı çiçək yarpaqları qədər zərif incə və titrək dodaqları hətta ağzının böyüklüyü və siması arasındakı incə bir tənasüb  onu seyr edən hər bir kəsdə anlaşılmaz bir həyəcan oyadırdı.
"
2344,segment113.flac,id17,"Xüsusilə əlində bir çomaq dünya malını təşkil edən iki keçisini dağdan endirərkən dağınıq saçları oynaq və şux görkəmi ilə elə ilahi bir heyət təşkil edirdi ki bu gözəlliyə qarşı kimsə dayanmaz pərəstiş etməyə bilməzdi.
"
2344,segment114.flac,id18,"Bəli bütün solğunluqla bütün nöqsanlarına baxmayaraq kənddə hər kəs onun gözəlliyini etiraf edirdi.
"
2344,segment115.flac,id19,"Gülzarı yalnız kəndin gəncləri deyil hətta ixtiyar kişiləri qadınları da sevirlərdi.
"
2344,segment116.flac,id20,"Ta uşaqlıqdan yetim qalmış Gülzar öz kor anası ilə yoxsul qardaşı Aslanın himayəsində yaşayırdı.
"
2344,segment117.flac,id21,"Anasının gözlərinə kənd qadınlarimn dediyinə görə qara su enmiş idi.
"
2344,segment118.flac,id22,"Ona görə Gülzar ta uşaqlıqdan evdə çalışmış zəhmətə alışmışdı.
"
2344,segment119.flac,id23,"Bir qədər böyüyüncə yoxsul evlərinin bir o qədər də böyük olmayan zəhməti onun üçün asanlaşmışdı.
"
2344,segment12.flac,id24,"Artıq Gülzar daha ağır işlər görə bilir malqara saxlaya bilir xalçapalaz toxuya bilirdi.
"
2344,segment120.flac,id25,"Lakin yunları olmadığından Gülzar bəzən qonşuları üçün icrətlə çalışır amma bu da həmişə olmurdu.
"
2344,segment121.flac,id26,"Hər nə olsa da Gülzar vaxtlarını boş keçirmir hər kəsin bir işi olursa ona kömək edir bacardığı qədər toxuyur və yardım edirdi.
"
2344,segment122.flac,id27,"Başqa qoca bir qadını suya gedən görüncə haman gedib dolçasını alır doldurub gətirərdi.
"
2344,segment123.flac,id28,"Bir evdə yas oldumu oraya gedir bacar¬dığı qədər çalışır və o qədər səmimiyyət göstərirdi ki hər kəs onu həmin evin adamı kimi bilirdi.
"
2344,segment124.flac,id29,"Hər kəsə ehtiram edər hər kəsi sevər hər kəsi ana bacı ata qardaş kimi görərdi.
"
2344,segment125.flac,id30,"Gülzarın namuslu və ismətli olduğu xüsusi bir tərzdə dillərdə dolaşırdı.
"
2344,segment126.flac,id31,"Kənddə bir qız tapılmazdı ki adına sözlər deyilməsin.
"
2344,segment127.flac,id32,"Birinin ayağı dolaşdımı haman ətrafda dastan açılır Dağdivara dırmaşır Filankəsə söz atdı Gecə filankəslə danışdı və s.
"
2344,segment128.flac,id33,"Hətta kəndin ən zəngin qızları və yüzbaşının qızları belə qadınların bu dediqodusundan qaşgözündən yaxa qurtara bilməzdilər.
"
2344,segment129.flac,id34,"Yal¬nız Gülzar bu dediqodulardan kənar qalıb su kimi pak və təmiz bir ad saxlamışdı.
"
2344,segment13.flac,id35,"Atalar qızlarını danlarkən Gülzardan ibrət almalarını tapşırır və qadınlar Allaha yalvarıb övlad dilərkən Gülzar kimi pak və namuslu bir qız istərlərdi.
"
2344,segment130.flac,id36,"Bax buna görə də bu gecə hər kəs Gülzarın gəlin getdiyinə sevinirdi.
"
2344,segment131.flac,id37,"Hamı da gəlmiş və öz qızlarının toyu kimi bu toyda iştirak edirlərdi.
"
2344,segment132.flac,id38,"Lakin hər kəsdən artıq Aslan sevinirdi.
"
2344,segment133.flac,id39,"Bu yoxsul kimsəyə toxunmaz bir kəsə pislik etməz söysələr də danışmaz hər kəsə ehtiram edər bir sözlə Allahın dilsizağızsız bəndəsi idi.
"
2344,segment134.flac,id40,"Bunu çox vaxt Aslanın qorxaqlığına çıxırlardısa da bununla bərabər kənddə kimsə ona dolaşmaz pislik etməzdi.
"
2344,segment135.flac,id41,"Dünya malından  bir uzunqulağı bir də çətinliklə yığdığı pullardan Gülzar üçün aldığı iki keçidən başqa heç bir şeyi yox idi.
"
2344,segment136.flac,id42,"Uzunqulağı ilə odun daşıyır kömür hazırlayır biçinə gedir və beləliklə öz bacısını və kor anasını saxlayırdı.
"
2344,segment137.flac,id43,"Yaşının çoxluğuna baxmayaraq hələ evlənməmişdi.
"
2344,segment138.flac,id44,"Zatən yoxsul olduğundan ona qız verən yox idi.
"
2344,segment139.flac,id45,"Lakin bacısını artıq varlı bir adama verdiyi və o gedəndən sonra bir qədər xərci azaldığı üçün yeznəsinin köməyi ilə evlənə biləcəyini ümid edirdi.
"
2344,segment14.flac,id46,"Lakin hər şeydən artıq onu sevindirən  Gülzarın təmiz bir ad saxlaması idi.
"
2344,segment140.flac,id47,"Hər kəs Gülzarı təriflərkən Aslan da bacısının belə adı ilə lovğalanardı.
"
2344,segment141.flac,id48,"Hər halda bu gecə Aslan sevincindən nə edəcəyini bilmir hər tərəfə çırpınır Buyurun Allah ömür versin oğlunuz üçün olsun Allah atana rəhmət eləsin.
"
2344,segment142.flac,id49,"və s.
"
